Date;;;;;
;NVDA;NVDA;NVDA;NVDA;NVDA
19/11/2010;0.31517934799194336;0.3163254536189015;0.3041767285080823;0.30463516529380286;716484000
22/11/2010;0.3154086470603943;0.3172423945928815;0.3103657593700962;0.3131164353194658;462668000
23/11/2010;0.308073490858078;0.3149501248136527;0.3057812795395531;0.3117410398978436;457832000
24/11/2010;0.3156377971172333;0.31678390278899743;0.3110533744301769;0.31128260649465556;397784000
26/11/2010;0.3117409944534302;0.31724228988580633;0.3117409944534302;0.31540854295855447;143104000
29/11/2010;0.31517934799194336;0.3163254536189015;0.308990383071432;0.31036569342859366;468192000
30/11/2010;0.3119702637195587;0.3135748336009386;0.30623973507267643;0.31036572116349487;720936000
01/12/2010;0.3257235288619995;0.32778650804882054;0.31770078951831904;0.3181592263014667;626536000
02/12/2010;0.3296203315258026;0.33168333834473457;0.3254943452132562;0.3257235773015767;529316000
03/12/2010;0.33901843428611755;0.33901843428611755;0.32732814344866523;0.32801581243768935;606044000
06/12/2010;0.3326002061367035;0.34085217861514955;0.33122489560717383;0.3401645096877262;438424000
07/12/2010;0.34337353706359863;0.3513962754676831;0.33970598857732165;0.3403936573341624;1026812000
08/12/2010;0.34635353088378906;0.3500210532528578;0.3403937694617384;0.342915213292295;613252000
09/12/2010;0.3406228721141815;0.3429151104799073;0.33328780224991644;0.3381014563649119;942408000
10/12/2010;0.3426859378814697;0.34589502296451236;0.3397060575470354;0.34062293119210024;451900000
13/12/2010;0.33397549390792847;0.3447488810709058;0.3330585930337586;0.34406123957191953;609108000
14/12/2010;0.33443397283554077;0.3465826991783828;0.33397553600332935;0.340393733630238;755160000
15/12/2010;0.32709887623786926;0.3392476016408127;0.3266404121158111;0.3351216158194885;624176000
16/12/2010;0.3275572657585144;0.3323709197428605;0.32664036497204785;0.33053714549523766;631872000
17/12/2010;0.32939109206199646;0.33122486659942285;0.32388976844971734;0.32778652226342675;593156000
20/12/2010;0.3280157446861267;0.332141730442731;0.32778651262869335;0.33053718801663867;344088000
21/12/2010;0.3408522307872772;0.3408522307872772;0.3309957141863791;0.33122494630571303;466952000
22/12/2010;0.3445197343826294;0.34497817123428415;0.33695543069171496;0.34016451597861563;477988000
23/12/2010;0.34199824929237366;0.34451969265908805;0.34062291157865415;0.34451969265908805;273784000
27/12/2010;0.3438320755958557;0.3463535193423913;0.3348924337606718;0.34108142707938305;255500000
28/12/2010;0.3424566388130188;0.3461241873264299;0.34039365985254405;0.34383197633687557;194260000
29/12/2010;0.3424566388130188;0.34497808183165274;0.3392475543577669;0.3422274341092496;177660000
30/12/2010;0.34360286593437195;0.3456658729504085;0.34085221723830994;0.3419983231387791;174488000
31/12/2010;0.3530009090900421;0.35345937326352483;0.34337362597729915;0.3438320628254646;391252000
03/01/2011;0.3626282811164856;0.36606659904966227;0.3552931809987845;0.35575164525013225;817448000
04/01/2011;0.3614821135997772;0.3649204309476122;0.3534593731214956;0.36331588831701933;651384000
05/01/2011;0.38921788334846497;0.38967634752044344;0.3644619930502673;0.3681295151488746;1428216000
06/01/2011;0.4430849552154541;0.44331418732502886;0.39815756578844086;0.39930367168567465;3493312000
07/01/2011;0.45546290278434753;0.45683824075336094;0.4281855667845903;0.4380420826950014;2579984000
10/01/2011;0.47288358211517334;0.47380045560471956;0.4437724799303816;0.44721079650414647;1750348000
11/01/2011;0.4655485451221466;0.48388629053840077;0.4554628261311788;0.4793018678469945;2711088000
12/01/2011;0.5352318286895752;0.5356902381343253;0.4641732275945487;0.46577776995242426;3431896000
13/01/2011;0.5361486673355103;0.5464636442798091;0.5129972977130133;0.5295012389636427;2695192000
14/01/2011;0.5407333970069885;0.5496730414909851;0.5237710366917024;0.5269801230242183;1595352000
18/01/2011;0.5281259417533875;0.5370655818344638;0.5150603433698436;0.5333980329819228;1813348000
19/01/2011;0.5136848092079163;0.5409621284660923;0.5125387313709081;0.5283549990059772;1197896000
20/01/2011;0.5141436457633972;0.5171235268101616;0.4994734453329743;0.5086423479273109;1111408000
21/01/2011;0.5093298554420471;0.5269799332149293;0.5084129817702354;0.5196448345391697;739244000
24/01/2011;0.5668646097183228;0.5741997103686737;0.5267508702596845;0.5327105780561158;2056900000
25/01/2011;0.5494437217712402;0.5703028332218635;0.5457761718792103;0.564343071478645;1086856000
26/01/2011;0.5625091791152954;0.5730533618477032;0.5512773275394152;0.5551740812186742;1074660000
27/01/2011;0.5609048008918762;0.5719073963069864;0.5501314102748098;0.5705321128680801;657396000
28/01/2011;0.5446299314498901;0.5716780587614648;0.5317935366791963;0.5622800084162384;1094796000
31/01/2011;0.548297643661499;0.5558619489962121;0.5366073784399639;0.5455470219538332;750160000
01/02/2011;0.5609048008918762;0.5650307605098817;0.549443741230035;0.5531112912519529;654104000
02/02/2011;0.586348295211792;0.5998723597848513;0.557695623441837;0.557695623441837;1606616000
03/02/2011;0.575345516204834;0.5872650354452931;0.5627383281889159;0.5872650354452931;1030776000
04/02/2011;0.5884110927581787;0.5929955146648171;0.5810760504979292;0.5833682614512484;872900000
07/02/2011;0.563884437084198;0.5829097933289242;0.5618214308454341;0.5803883776930703;934236000
08/02/2011;0.5471513271331787;0.5682396909793789;0.5446298566837702;0.5645721423125671;1076584000
09/02/2011;0.5338566899299622;0.5547158576541926;0.5240001727378923;0.5492145050627895;1277520000
10/02/2011;0.5230831503868103;0.5320227911598103;0.5180402634929213;0.5219370173720324;1042352000
11/02/2011;0.5379825234413147;0.5549449321987833;0.5127681970350194;0.5212493740884372;1359276000
14/02/2011;0.529730498790741;0.5615922484816781;0.5276674924699303;0.5444006384428327;1287828000
15/02/2011;0.5168942213058472;0.5324812379132158;0.514601955115857;0.5306474905419845;886980000
16/02/2011;0.5359194874763489;0.5434837896793933;0.521936961311309;0.523770763007861;1318364000
17/02/2011;0.588640570640564;0.596204875059812;0.5182695644123928;0.520791035652569;3470096000
18/02/2011;0.5874943733215332;0.5948294721553351;0.578325527104598;0.5854313665275325;1394412000
22/02/2011;0.5320228934288025;0.5698444157767002;0.530189091182778;0.5682398729680791;1396648000
23/02/2011;0.5068084597587585;0.5370656747114444;0.499244156020587;0.5320228419864202;1491604000
24/02/2011;0.5191864967346191;0.5281260845827415;0.5056624305929994;0.5093299257867723;1246120000
25/02/2011;0.5299596786499023;0.5386700582894363;0.5258336662017395;0.5331687630091717;775652000
28/02/2011;0.5194156765937805;0.5388995034661748;0.5074961538341382;0.5386702440395861;903696000
01/03/2011;0.49626433849334717;0.5269800215261137;0.49626433849334717;0.5203325906528962;988448000
02/03/2011;0.47563430666923523;0.5049746439385416;0.4641732502321534;0.4955765394046949;1718140000
03/03/2011;0.47838500142097473;0.4893876500928541;0.4639440626114455;0.4866369742622252;1593704000
04/03/2011;0.47586363554000854;0.4836571450201697;0.47059154273857196;0.4788435164560658;959760000
07/03/2011;0.4692162275314331;0.48090654697172;0.4572967306119594;0.47930200403886586;1019140000
08/03/2011;0.44812777638435364;0.4767804195543855;0.43827123434348353;0.4742590033506123;1947184000
09/03/2011;0.4387296736240387;0.4511076311670085;0.4348328925135597;0.4467524132568598;1318976000
10/03/2011;0.41076475381851196;0.43185309664873134;0.4103062896040109;0.4286440110991422;1722736000
11/03/2011;0.4137445092201233;0.4252055926857617;0.404804896360795;0.4142029733259869;1486832000
14/03/2011;0.41718292236328125;0.4274978745950165;0.4103062602168066;0.4169536902724489;1003360000
15/03/2011;0.4048048257827759;0.41168145826802505;0.38990542807276085;0.39678206055801;1256280000
16/03/2011;0.40182510018348694;0.4206212580377207;0.3965530077932828;0.4011374312064483;1476520000
17/03/2011;0.4093892574310303;0.41328601046937935;0.39426065466413496;0.4125983417390097;1238516000
18/03/2011;0.4038880467414856;0.41718290634220767;0.403429609902744;0.4158075685006663;886960000
21/03/2011;0.4070972204208374;0.4167245047819676;0.40297123360168996;0.41259851796282015;751832000
22/03/2011;0.39999130368232727;0.40984781895168815;0.398157528951348;0.4059510647266806;718332000
23/03/2011;0.4082432985305786;0.4093894043841608;0.3905932465251573;0.3993036564774459;782396000
24/03/2011;0.4407927691936493;0.4458356572965861;0.4160368749008854;0.4169537487421531;1780592000
